SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP
Gene1	0.347484615186943	10	6	12	6	ER	0.00577322145612148
Gene2	0.606767852730666	10	10	32	16	ER.A	-1
Gene3	0.330377887438979	10	8	23	18	ER.A	-1
Gene4	0.795863893788665	10	7	20	13	ER	1.71213880231735e-05
Gene5	0.975326280463025	10	7	19	19	ER	2.41871310285051e-07
Gene6	0.263957990337473	10	4	10	6	ER	0.004273348294751
Gene7	0.605884682048962	10	10	28	19	ER.A	-1
Gene8	0.674502830873295	10	9	31	11	ER.A	-1
Gene9	0.794750700671572	10	10	29	12	ER.A	-1
Gene10	0.817134865365125	10	10	31	11	ER.A	-1
Gene11	0.947058678749676	10	10	30	26	ER.A	-1
Gene12	0.823436222638032	10	9	19	15	ER	3.82106404242204e-06
Gene13	0.948249426862723	10	7	22	17	ER.A	-1
Gene14	0.106793395613128	10	10	29	11	ER.A	-1
Gene15	0.177042185610219	10	5	10	7	ER	0.00292873606884436
Gene16	0.425802892032516	10	8	18	12	ER	8.80136656355014e-05
Gene17	0.119347076942396	10	1	2	2	ER	0.119347076942396
Gene18	0.946211372829561	10	6	9	4	ER	0.0116393722306572
Gene19	0.27257113385908	10	6	11	9	ER	0.00028141634598079
Gene20	0.345061166458681	10	5	16	13	ER	2.00099245242821e-05
Gene21	0.885634440489641	10	10	23	16	ER.A	-1
Gene22	0.679496784461002	10	8	18	10	ER	0.000141599081257658
Gene23	0.982161903481427	10	9	26	18	ER.A	-1
Gene24	0.883834768806363	10	8	20	10	ER	0.000300588934679008
Gene25	0.330093458905202	10	9	17	10	ER	0.000232092219791624
Gene26	0.871926661921352	10	10	23	9	ER.A	-1
Gene27	0.753591823782748	10	10	22	13	ER.A	-1
Gene28	0.655851931169728	10	8	23	15	ER.A	-1
Gene29	0.32109646871708	10	8	12	4	ER	0.0326202506042801
Gene30	0.365196639387568	10	10	22	14	ER.A	-1
Gene31	0.804899729955324	10	6	11	5	ER	0.0107076981815128
Gene32	0.149532544178222	10	9	18	11	ER	9.76587239813373e-05
Gene33	0.121264378345331	10	9	27	17	ER.A	-1
Gene34	0.809292092240782	10	9	22	13	ER.A	-1
Gene35	0.871261224084742	10	10	27	13	ER.A	-1
Gene36	0.469739926389577	10	7	19	11	ER	0.000108681101768562
Gene37	0.568623828811421	10	10	28	17	ER.A	-1
Gene38	0.692889316113645	10	10	24	12	ER.A	-1
Gene39	0.538498531386005	10	3	3	2	ER	0.0876514481997478
Gene40	0.653214135030664	10	8	15	11	ER	5.51522942794253e-05
Gene41	0.882323326411812	10	10	31	15	ER.A	-1
Gene42	0.973709435437636	10	6	19	7	ER	0.00115674877644852
Gene43	0.167440796450179	10	3	5	5	ER	0.00463778637208268
Gene44	0.182913549106934	10	5	10	8	ER	0.00121780959347351
Gene45	0.695887146336508	10	9	26	12	ER.A	-1
Gene46	0.429494144324351	10	9	16	11	ER	0.000134247607569199
Gene47	0.129926573117866	10	6	16	13	ER	1.62639335993717e-05
Gene48	0.604562304906162	10	5	14	5	ER	0.00954219302064943
Gene49	0.47352586122668	10	10	33	20	ER.A	-1
Gene50	0.677082264257065	10	10	31	18	ER.A	-1
Gene51	0.764217546619154	10	10	28	18	ER.A	-1
Gene52	0.51515084233068	10	8	23	13	ER.A	-1
Gene53	0.00883161761072713	10	8	14	10	ER	0.000143036487810941
Gene54	0.82158210790802	10	9	15	13	ER	1.7928276779363e-05
Gene55	0.364045181026837	10	7	18	11	ER	0.000147257599278142
Gene56	0.523691042530281	10	8	24	22	ER.A	-1
Gene57	0.678044578428443	10	5	13	8	ER	0.00105086356688747
Gene58	0.139245924723451	10	4	9	9	ER	0.000384117832383234
Gene59	0.977110945837765	10	5	18	14	ER	1.18910318786216e-05
Gene60	0.0371585697813742	10	7	18	7	ER	0.00124346928192465
Gene61	0.566949811733359	10	9	14	7	ER	0.00180706125167844
Gene62	0.0226344737147217	10	10	29	17	ER.A	-1
