SetID	P.value	N.Marker.All	N.Marker.Test	cMAC	cMAF	medANDav_Pheno	Carriers_AvPheno	nonCarriers_AvPheno	AvDiff_Pheno	Carriers_medianPheno	nonCarriers_medianPheno	medianDiff_Pheno	no_of_carriers	P_regression	BETA_noOfMutations	BETA_L95	BETA_U95	eff_estimate	eff_stdErr	chr	start	end	gene_type	strand	additional_info1	additional_info2	exome_wide_check
Gene1320	0.000606495631646942	10	10	39	0.0065	48_48.61	54.636	48.133	6.503	56	47.5	8.5	22	0.02698997708999	7.152	0.846	13.458	7.152	3.218	1	1979000	1980000	non_coding	-	info1320	info1320	suggestiveHit
Gene1225	0.00210798014230318	10	8	28	0.004667	48_48.61	40.714	48.997	-8.282	38	48	-10	14	0.654933831039401	-1.464	-7.877	4.949	-1.464	3.272	1	1836500	1837500	protein_coding	+	info1225	info1225	NA
Gene466	0.00248282549719103	10	7	31	0.005167	48_48.61	51.818	48.356	3.462	55	48	7	22	0.383386035698158	3.209	-3.996	10.414	3.209	3.676	1	698000	699000	non_coding	-	info466	info466	NA
Gene1224	0.00293590830708912	10	10	34	0.005667	48_48.61	47.154	48.676	-1.522	50	48	2	13	0.889550973243994	0.393	-5.149	5.935	0.393	2.827	1	1835000	1836000	non_coding	-	info1224	info1224	NA
Gene1328	0.00356623841888881	10	10	46	0.007667	48_48.61	39.571	49.29	-9.719	39	49	-10	21	0.231702926749549	-3.219	-8.483	2.045	-3.219	2.686	1	1991000	1992000	non_coding	-	info1328	info1328	NA
Gene1061	0.00411598402565505	10	8	37	0.006167	48_48.61	53.385	48.157	5.228	53	48	5	26	0.13740191387822	5.497	-1.736	12.73	5.497	3.69	1	1590500	1591500	protein_coding	+	info1061	info1061	NA
Gene56	0.00648278506905253	10	8	35	0.005833	48_48.61	49.968	48.454	1.514	48	48	0	31	0.49714506510763	3.224	-6.07	12.518	3.224	4.742	1	83000	84000	non_coding	-	info56	info56	NA
Gene1279	0.0072385522985623	10	8	32	0.005333	48_48.61	48.238	48.638	-0.4	48	48	0	21	0.897926081971128	0.53	-7.566	8.627	0.53	4.131	1	1917500	1918500	protein_coding	+	info1279	info1279	NA
Gene470	0.00796557262181652	10	6	35	0.005833	48_48.61	49.71	48.483	1.226	50	47	3	31	0.791670070340348	1.252	-8.029	10.533	1.252	4.735	1	704000	705000	non_coding	-	info470	info470	NA
Gene437	0.00973557118860369	10	8	32	0.005333	48_48.61	49.667	48.505	1.161	48	48	0	27	0.971896934042013	0.167	-9.101	9.435	0.167	4.729	1	654500	655500	protein_coding	+	info437	info437	NA
Gene349	0.010039288411843	10	8	29	0.004833	48_48.61	43.211	48.975	-5.765	44	49	-5	19	0.366737683173252	-3.414	-10.815	3.988	-3.414	3.776	1	522500	523500	protein_coding	+	info349	info349	NA
Gene758	0.0109647823197558	10	10	44	0.007333	48_48.61	51.742	48.249	3.493	43	48	-5	31	0.920147426579553	-0.358	-7.354	6.638	-0.358	3.569	1	1136000	1137000	non_coding	-	info758	info758	NA
Gene987	0.0111017374254436	10	7	25	0.004167	48_48.61	57	48.074	8.926	64.5	47	17.5	18	0.0394377887043593	9.92	0.522	19.318	9.92	4.795	1	1479500	1480500	protein_coding	+	info987	info987	NA
Gene1001	0.0126593457231373	10	9	37	0.006167	48_48.61	39.417	49.409	-9.993	37.5	49	-11.5	24	0.0466804040924696	-7.173	-14.211	-0.135	-7.173	3.591	1	1500500	1501500	protein_coding	+	info1001	info1001	NA
Gene428	0.0135119609118316	10	7	32	0.005333	48_48.61	44.609	48.942	-4.334	39	48	-9	23	0.629371516176523	-2.005	-10.141	6.13	-2.005	4.151	1	641000	642000	non_coding	-	info428	info428	NA
Gene415	0.0142483113150205	10	10	41	0.006833	48_48.61	48.842	48.594	0.248	42	48	-6	19	0.74107525052801	0.924	-4.551	6.399	0.924	2.793	1	621500	622500	protein_coding	+	info415	info415	NA
Gene1087	0.0143508143014137	10	7	24	0.004	48_48.61	42.316	49.036	-6.72	28	49	-21	19	0.494719667221472	-3.562	-13.774	6.65	-3.562	5.21	1	1629500	1630500	protein_coding	+	info1087	info1087	NA
Gene1253	0.0155938412383025	10	9	24	0.004	48_48.61	58.273	47.845	10.427	57	46	11	22	0.27991149008217	6.243	-5.06	17.546	6.243	5.767	1	1878500	1879500	protein_coding	+	info1253	info1253	NA
Gene444	0.0161787708514859	10	10	38	0.006333	48_48.61	57.682	47.892	9.79	63.5	46	17.5	22	0.425674917452301	2.769	-4.035	9.574	2.769	3.472	1	665000	666000	non_coding	-	info444	info444	NA
