SetID	P.value	N.Marker.All	N.Marker.Test
Gene1	0.773761626590364	10	10
Gene2	1	10	10
Gene3	0.61396907756065	10	7
Gene4	0.503455222431892	10	10
Gene5	0.105566569240019	10	7
Gene6	0.272594319108306	10	10
Gene7	0.187833971920358	10	10
Gene8	0.377184830632031	10	9
Gene9	0.572831104396242	10	8
Gene10	0.519321750574117	10	8
Gene11	0.7485476439474	10	9
Gene12	0.780151628221598	10	6
Gene13	0.660518475723259	10	10
Gene14	0.723586100034593	10	10
Gene15	0.519577910916765	10	9
Gene16	1	10	9
Gene17	0.310381742699079	10	9
Gene18	0.294727225559056	10	9
Gene19	0.315637472741752	10	8
Gene20	0.64436728213341	10	7
Gene21	0.292332146433458	10	8
Gene22	0.307551439785548	10	5
Gene23	0.598941948514757	10	9
Gene24	0.709055389995317	10	7
Gene25	0.683979041380907	10	9
Gene26	0.431799382134772	10	10
Gene27	0.340335221321476	10	9
Gene28	0.41788573607393	10	10
Gene29	0.0549290017485807	10	8
Gene30	0.329588463211506	10	9
Gene31	0.709167166713711	10	10
Gene32	0.586126908443706	10	6
Gene33	0.203639922052799	10	7
Gene34	0.660490874851868	10	7
Gene35	0.37175150431299	10	9
Gene36	0.746719133379494	10	8
Gene37	0.1076826227194	10	10
Gene38	0.444177060815332	10	10
Gene39	1	10	9
Gene40	0.657560150210807	10	6
Gene41	0.350371033925772	10	6
Gene42	0.332824723428133	10	8
Gene43	0.633203603207599	10	10
Gene44	0.607389586482972	10	10
Gene45	1	10	7
Gene46	0.722115672162943	10	9
Gene47	0.632656528065244	10	10
Gene48	0.323750243479575	10	10
Gene49	0.73555911110123	10	10
Gene50	0.892140264675315	10	9
Gene51	0.0713564724993538	10	10
Gene52	0.190904706881093	10	5
Gene53	0.780101024159133	10	8
Gene54	0.0871554007587978	10	5
Gene55	0.778987024949565	10	10
Gene56	0.259940472385096	10	10
Gene57	0.0501400828098232	10	5
Gene58	0.00942853771657259	10	6
Gene59	0.376763871718306	10	4
Gene60	0.505755202604878	10	5
Gene61	0.666114457657977	10	5
Gene62	0.40930716237428	10	10
Gene63	0.355841669163898	10	7
Gene64	0.379084677738678	10	10
Gene65	0.680355586369653	10	10
Gene66	0.0711500678686893	10	10
Gene67	0.503891443657395	10	10
Gene68	0.795151949288432	10	9
Gene69	0.205265323019374	10	10
Gene70	0.870552154588204	10	10
Gene71	0.820415962027743	10	10
Gene72	0.273392806729014	10	6
Gene73	0.925946597581656	10	10
Gene74	1	10	8
Gene75	0.628609787029972	10	10
Gene76	1	10	8
Gene77	0.32050186478544	10	9
Gene78	0.777931189335914	10	10
Gene79	0.273912738371136	10	9
Gene80	0.895228418243642	10	10
Gene81	0.525291396934966	10	10
Gene82	0.83784741940177	10	9
Gene83	0.894660252520761	10	10
Gene84	0.0450247542780325	10	9
Gene85	0.310514591893918	10	9
Gene86	0.0157193611289091	10	7
Gene87	0.824648873687055	10	7
Gene88	1	10	5
Gene89	0.292591071994641	10	8
Gene90	0.222239525614207	10	8
Gene91	1	10	10
Gene92	0.519515663363746	10	9
Gene93	0.49583013066881	10	7
Gene94	0.0846382803520166	10	9
Gene95	1	10	9
Gene96	1	10	10
Gene97	0.412957370002181	10	5
Gene98	0.413090935814538	10	10
Gene99	0.240956217689894	10	10
Gene100	0.764821336893814	10	10
Gene101	0.164760333628818	10	9
Gene102	0.329830759364464	10	8
Gene103	0.728770133845876	10	5
Gene104	0.894425982219701	10	10
Gene105	0.330566896857507	10	10
Gene106	0.522968553363303	10	10
Gene107	0.614819908900741	10	9
Gene108	0.869930909232766	10	9
Gene109	0.662199088786357	10	7
Gene110	0.785122262475783	10	10
Gene111	0.88008072702969	10	10
Gene112	0.0558181799137797	10	10
Gene113	0.79268036628471	10	8
Gene114	0.438422455391725	10	10
Gene115	0.723322439154365	10	6
Gene116	0.723015339300194	10	7
Gene117	0.265881649585187	10	8
Gene118	0.806203334302305	10	8
Gene119	1	10	10
Gene120	0.104785133004708	10	10
Gene121	0.281707972567865	10	9
Gene122	0.322043187195507	10	9
Gene123	1	10	10
Gene124	0.820336978038285	10	10
Gene125	0.247763024088874	10	8
Gene126	0.653469271627325	10	10
Gene127	0.372152266954922	10	10
Gene128	0.85403486081853	10	7
Gene129	0.571315899236816	10	10
Gene130	0.621087449027232	10	8
Gene131	0.0913975524053513	10	8
Gene132	0.847696685575386	10	8
Gene133	0.15717387926683	10	10
Gene134	0.840989626710805	10	10
Gene135	0.0203677910872568	10	10
Gene136	0.482983365640202	10	10
Gene137	0.533840615573521	10	10
Gene138	0.685689634473074	10	10
Gene139	0.487006206460755	10	9
Gene140	0.353279153654717	10	8
Gene141	0.773585149570507	10	9
Gene142	0.799093055002564	10	10
Gene143	0.876724621045759	10	10
Gene144	1	10	8
Gene145	0.419359328653981	10	8
Gene146	0.0605072202792281	10	8
Gene147	0.451940843295027	10	8
Gene148	0.447067254083671	10	10
Gene149	0.50687408449377	10	10
Gene150	0.766993579349602	10	10
Gene151	0.440310662767335	10	10
Gene152	0.307601480716346	10	9
Gene153	0.782726177435521	10	5
Gene154	0.289810790988402	10	8
Gene155	0.71317459654111	10	8
Gene156	1	10	5
Gene157	0.14674371689978	10	7
Gene158	0.671194478193453	10	8
Gene159	0.181489755429941	10	6
Gene160	0.811473498757783	10	5
Gene161	1	10	9
Gene162	0.427339474548312	10	9
Gene163	0.718856053803695	10	6
Gene164	0.631962651591142	10	9
Gene165	0.324839713334013	10	10
Gene166	0.493922151309539	10	8
Gene167	0.311969078945548	10	9
Gene168	0.325311536820755	10	10
Gene169	0.139579559630739	10	8
Gene170	0.33791000024193	10	10
Gene171	0.682343147302168	10	3
Gene172	0.511480979127547	10	9
